fecha_actualizacion,id_eess,id_producto_bsa,fecha_ultima_venta,saldo_octano,saldo_bsa,saldo_planta
2026-08-03 03:47:33,2698,3,2026-07-01 00:35:16,16519.7515,0.0,16342.3738
2026-08-03 03:47:33,2698,7,2026-08-02 19:12:02,-113807.1426,2476.5023,-113831.8158
2026-08-03 03:47:33,2698,10,2026-06-03 07:51:18,45085.3121,0.0,45001.2993
2026-08-03 03:47:33,2704,2,2026-08-01 08:25:44,-120743.3703,482.1903,-120973.3703
2026-08-03 03:47:33,2704,3,2026-08-01 23:00:50,-143340.6646,23.2523,-142449.76
2026-08-03 03:47:33,2706,3,2026-06-03 05:15:51,65137.2927,0.0,65137.2927
2026-08-03 03:47:33,2706,7,2026-08-02 17:31:38,1654568.3608,19705.5904,1654232.0255
2026-08-03 03:47:33,2711,2,2026-08-02 10:19:17,393042.4181,45.3148,393042.4181
2026-08-03 03:47:33,2711,10,2026-06-03 07:01:45,161337.5346,0.0,165205.2857
2026-08-03 03:47:33,2722,2,2026-08-02 07:42:50,470118.2671,11639.699,471125.9479
2026-08-03 03:47:33,2722,3,2026-08-02 21:56:43,381234.9275,10159.1455,403165.5944
2026-08-03 03:47:33,2722,7,2026-06-03 06:10:37,0.0,0.0,0.0
2026-08-03 03:47:33,2722,10,2026-06-03 06:10:37,0.0,0.0,0.0
2026-08-03 03:47:33,2724,2,2026-07-31 03:23:04,21023.273,90.73,21023.273
2026-08-03 03:47:33,2724,10,2026-06-03 08:22:13,225230.9399,0.0,228771.3899
2026-08-03 03:47:33,2727,2,2026-08-01 14:57:58,9948.8213,7335.5347,186411.1709
2026-08-03 03:47:33,2727,3,2026-08-01 14:33:18,56040.56,724.0051,438533.8557
2026-08-03 03:47:33,2729,2,2026-08-01 15:06:18,231426.855,83.887,243055.025
2026-08-03 03:47:33,2729,3,2026-06-25 05:19:07,16382.759,0.0,16382.759
2026-08-03 03:47:33,2729,7,2026-08-02 10:46:45,369906.995,218.9,379364.216
2026-08-03 03:47:33,2743,3,2026-06-03 08:33:58,1153.781,0.0,1153.781
2026-08-03 03:47:33,2743,7,2026-08-03 03:24:10,21587.061,8560.952,55071.615
2026-08-03 03:47:33,2753,2,2026-08-01 15:20:47,-396489.2376,12969.0597,-396482.2496
2026-08-03 03:47:33,2754,3,2026-06-19 15:45:48,61551.902,0.0,61551.902
2026-08-03 03:47:33,2754,7,2026-08-03 03:43:16,-121024.556,16836.43,-111478.244
2026-08-03 03:47:33,2760,3,2026-07-20 18:41:06,-9222.314,15000.0,-9222.314
2026-08-03 03:47:33,2760,7,2026-08-03 03:44:43,198799.067,56583.853,198799.067
2026-08-03 03:47:33,2763,2,2026-07-31 22:13:55,-16538.7259,367.2882,-16679.7261
2026-08-03 03:47:33,2763,3,2026-06-25 17:12:54,-4707.1257,0.0,-4707.1257
2026-08-03 03:47:33,2763,7,2026-08-01 10:58:49,62383.6954,10923.5792,62332.416
2026-08-03 03:47:33,2769,2,2026-08-01 22:39:35,252692.1397,23896.4288,252388.4684
2026-08-03 03:47:33,2773,2,2026-07-31 05:46:13,707872.3991,25716.347,707872.3991
2026-08-03 03:47:33,2773,10,2026-07-04 16:39:54,428596.1948,0.0,421326.1948
2026-08-03 03:47:33,2780,2,2026-08-01 14:03:16,140793.2929,466.51,140793.2929
2026-08-03 03:47:33,2780,10,2026-06-03 08:31:16,69454.644,0.0,69453.644
2026-08-03 03:47:33,2782,2,2026-08-02 07:34:09,410184.6733,109990.8241,410423.9929
2026-08-03 03:47:33,2782,3,2026-06-24 19:55:29,1884.7004,0.0,1884.7004
2026-08-03 03:47:33,2782,7,2026-08-02 14:37:43,81596.7188,265.0483,81812.831
2026-08-03 03:47:33,2786,2,2026-08-01 22:36:54,25786.6449,16017.9222,32227.3706
2026-08-03 03:47:33,2786,3,2026-06-25 18:56:27,-28181.3919,0.0,-28181.3919
2026-08-03 03:47:33,2786,7,2026-08-02 15:36:21,414583.0422,472.1597,417019.8918
2026-08-03 03:47:33,2789,2,2026-07-31 15:30:46,119463.6055,50.5749,118884.3446
2026-08-03 03:47:33,2794,3,2026-06-25 11:19:21,69946.7438,0.0,69946.7438
2026-08-03 03:47:33,2794,7,2026-08-02 13:55:22,436565.6604,39.93,438008.1856
2026-08-03 03:47:33,2800,2,2026-08-02 09:04:21,362036.567,90.316,362633.767
2026-08-03 03:47:33,2804,2,2026-08-01 16:54:20,12750.6367,5006.1679,17890.0792
2026-08-03 03:47:33,2804,3,2026-08-02 17:52:26,288034.1617,177.572,299440.2839
2026-08-03 03:47:33,2804,7,2026-07-26 21:20:10,28685.7998,12022.1068,28685.7998
2026-08-03 03:47:33,2821,2,2026-08-02 09:56:40,14221.9331,12815.0275,31001.2153
2026-08-03 03:47:33,2821,3,2026-08-02 20:56:13,88702.3466,7824.7291,95796.9405
2026-08-03 03:47:33,2821,10,2026-06-03 07:23:51,0.0,0.0,0.0
2026-08-03 03:47:33,2822,2,2026-08-01 19:32:58,29564.6935,10692.4815,46301.1616
2026-08-03 03:47:33,2822,3,2026-08-02 13:52:42,370908.1791,17845.1337,386546.5864
2026-08-03 03:47:33,2824,2,2026-08-01 20:58:46,134204.7787,1572.6181,134204.7787
2026-08-03 03:47:33,2824,3,2026-08-02 21:35:20,37219.2492,2415.5502,37219.2492
2026-08-03 03:47:33,2824,7,2026-08-01 10:33:22,235489.4959,63.2874,235488.4959
2026-08-03 03:47:33,2824,10,2026-06-03 07:14:15,93172.0173,0.0,93172.0173
2026-08-03 03:47:33,2825,2,2026-07-30 18:00:40,-103841.7194,1.5767,-102604.8709
2026-08-03 03:47:33,2829,2,2026-08-02 10:19:49,168683.362,30457.3163,168683.362
2026-08-03 03:47:33,2829,3,2026-06-24 07:57:10,11077.1089,0.0,11077.1089
2026-08-03 03:47:33,2829,7,2026-08-02 10:35:32,65144.4056,1114.6833,65144.4056
2026-08-03 03:47:33,2833,2,2026-08-01 19:49:04,291955.6616,24955.3405,291955.6616
2026-08-03 03:47:33,2833,3,2026-07-19 12:40:04,153270.4325,-6951.7805,153270.4325
2026-08-03 03:47:33,2833,7,2026-08-01 21:11:36,408503.7222,127829.6765,424888.6272
2026-08-03 03:47:33,2833,10,2026-06-03 00:54:55,31780.001,0.0,31779.4074
2026-08-03 03:47:33,2856,3,2026-06-25 08:13:11,2733.8571,0.0,2733.8571
2026-08-03 03:47:33,2856,7,2026-08-02 13:56:15,34865.4096,323.9537,34925.6354
2026-08-03 03:47:33,2857,2,2026-08-02 21:29:28,-73145.2147,6178.99,-73625.0939
2026-08-03 03:47:33,2857,3,2026-08-02 17:09:21,-160080.725,2562.26,-158595.7797
2026-08-03 03:47:33,2858,2,2026-08-02 17:12:47,-3407773.4278,301948.9312,-3407773.4278
2026-08-03 03:47:33,2858,10,2026-06-03 00:31:15,11140.4503,0.0,-16156.5931
2026-08-03 03:47:33,2877,3,2026-06-25 08:58:56,163265.676,0.0,163265.676
2026-08-03 03:47:33,2877,7,2026-08-02 19:41:42,159545.407,446.181,159545.005
2026-08-03 03:47:33,2903,3,2026-08-02 22:00:20,-43296.6526,2826.9459,-32124.6403
2026-08-03 03:47:33,2911,2,2026-08-03 03:44:46,-203295.93,27921.09,-166553.99
2026-08-03 03:47:33,2916,3,2026-06-26 12:27:41,27020.329,0.0,27020.329
