id_eess_saldo,id_entidad,latitud,longitud,nombreEstacion,direccion,id_departamento
3092,7952,-16.5217331,-68.1782057,ESTACION DE SERVICIO ILLIMANI S.R.L.,"EL ALTO - CARRETERA A VIACHA KM 3 CALLE 132, NRO 139, ZONA VILLA BOLIVAR ""D""",2
3095,22746,-17.3917272,-66.2510492,ESTACION DE SERVICIO PARAJE 24.7 S.R.L.,COCHABAMBA - AV. BLANCO GALINDO KM. 10  Nro S/N  ZONA: PIÑAMI SUD,3
3098,7727,-17.4479,-66.1249643,ESTACION DE SERVICIO REFINERIA,COCHABAMBA - AVENIDA SIGO XX NRO 500 ZONA: VALLE HERMOSO,3
3099,8105,-17.81227,-63.12807,SURTIDOR RADIAL 10,"AVDA. RADIAL 10, ESQ. CHE GUEVARA NO. 21",7
3100,28758,-11.0275354,-68.756512,ESTACION DE SERVICIO COBIJA,AV. INTERNACIONAL Nro 615 BARRIO PROGRESO,9
3101,8086,-17.3401002,-63.2704866,ESTACION DE SERVICIO MIRANDA,MONTERO - AV. CUPESI ESQ. AV. CIRCUNVALACION NORTE ZONA: URKUPIÑA,7
3102,19021,-17.383223,-66.183007,ESTACION DE SERVICIO PANAMERICANA SUCURSAL COCHABAMBA,COCHABAMBA - AVENIDA TADEO HAENKE ESQ. CALLE ISMAEL CESPEDES S/N,3
3111,4975,-14.8468253,-64.9051903,POMPEYA,AV. PEDRO IGNACIO MUIBA CIRCUNVALACION SUR ZONA POMPEYA,8
3112,26180,-14.9999995,-65.6359695,ESTACION DE SERVICIO LAS PALQUITAS,SAN YGNACIO DE MOXOS - AV.CIRCUNVALACION ESQ. SUCRE N:S/N ZONA: LAS PALQUITAS,8
3114,11866,-21.5233078,-64.7353907,ESTACION DE SERVICIO SE�OR DE QUISQUIRA,CALLE BOLIVAR S/N VILLA CHARCAS PROVINCIA NOR CINTI CHUQUISACA,1
3115,8178,-17.5417215,-66.0594992,ESTACION DE SERVICIO DAYANA,"TOLATA CARRETERA ANTIGUA STA CRUZ KM 20,5 NroS/N ZONA CARCAJE",3
3116,58094,-17.54174,-66.22242,SUCURSAL NRO 1,"AV. CHAPISIRCA ENTRE CALLE LITORAL Y CIUDAD DEL NIÑO, ZONA: CHILIMARCA",3
3117,50384,-17.845907,-60.729176,SAN JOSE DE CHIQUITOS,"LOCALIDAD SAN JOSE DE CHIQUITOS, MANZANA 9 LADO ESTE S/N",7
3118,38029,-20.6447959,-65.2081996,YPFB - CAMARGO,CARRETERA TARIJA - CAMARGO - POTOSI,1
3119,41599,-20.236485,-65.15432,YPFB - SAN LUCAS,"BARRIO SAN FRANCISCO, AV. LIBERTADORES DE AMERICA",1
3121,36826,-16.921911,-62.622334,ESTACION DE SERVICIO SAN JULIAN,AV. UV-19V MANZANO 23 S/N BARRIO LAS PALMERAS,7
3123,37303,-16.6608617,-68.0791855,"ESTACION DE SERVICIO ""C. REDENTOR"" S.R.L.",EL ALTO - AVENIDA 6 DE MARZO  NO 110  ZONA: SENKATA,2
3124,30064,-17.4311736,-66.1501086,ESTACION DE SERVICIO TICTI S.R.L.,COCHABAMBA - AV. PETROLERA KM. 2 NRO S/N MZNO: 005 ZONA: TICTI SUD,3
3125,54420,-18.26964,-66.86193,HUANUNI,CARRETERA HUANUNI ORURO S/N,4
3126,7946,-13.7794219,-68.1272338,ESTACION DE SERVICO SAYHOGAS S.R.L.,IXIAMAS - IXIAMAS  CARRETERA TUMUPASA - LOCALIDAD IXIAMAS ZONA: IXIAMAS,2
3132,36350,-17.2780294,-62.5544366,SUCURSAL CUATRO CAÑADAS,"CARRETERA SANTA CRUZ- TRINIDAD, KM 100 S/N",7
3133,27416,-17.56025,-65.9366661,ESTACION DE SERVICIO PAREDES VALLEJOS,COCHABAMBA - AV. MONSEÑOR WALTER ROSALES KM 30 Nro S/N ZONA: VILLA GRACIELA,3
3134,16269,-17.422894,-66.1199884,ESTACION DE SERVICIO SAN JUAN BAUTISTA S.R.L.,AVENIDA GUAYACAN NRO S/N  ZONA: VILLA EUCALIPTOS NORTE,3
3135,22744,-17.3936186,-66.2591986,ESTACION DE SERVICIO PARAJE 24.7 S.R.L.- SUCURSAL COCHABAMBA I,AVENIDA VICTOR USTARIZ KM.11.5 ZONA PIÑAMI	,3
3136,39639,-21.4458589,-65.7135576,ESTACION DE SERVICIOS PETRO CENTER,AV. JOSE LUIS SAN JUAN GARCIA NRO. S/N ZONA CHAJRAHUASI,5
3138,36574,-17.0621453,-62.6360177,ESTACION DE SERVICIOS FLORES,SAN JULIAN -CARRETERA SANTA CRUZ TRINIDAD Nro S/N UV: 00 MZNO: 00 ZONA: ESTE,7
3140,17727,-17.3829451,-66.2838204,ESTACION DE SERVICIO IQUIRCOLLO S.R.L. SUCURSAL,QUILLACOLLO - CALLE  SANTA CRUZ  ENTRE  CALLE INNOMINADA S/N,3
3141,20444,-15.9054086,-63.180712,ESTACION DE SERVICIO EL JUNTE SUCURSAL EESS EL JUNTE II,ASCENCIO DE GUARAYOS - CARRETERA SANTA CRUZ - TRINIDAD,7
3142,40026,-14.2946644,-67.3393627,"ESTACION DE SERVICIO ""REYES MATIAS""",CALLE AMBROSIO GARCIA S/N ZONA SAN PEDRO - REYES - PROVINCIA BALLIVIAN,8
3144,36810,-17.2375423,-63.2164097,SUCURSAL 4,GRAL. SAAVEDRA - CARRETERA MINERO,7
3145,36357,-16.6141903,-62.5012816,ESTACION DE SERVICIO PAULINA S.R.L.,SAN RAMON - CARRETERA A TRINIDAD KM. 180 Nro S/N UV: 1 MZNO: 5 EDIFICIO: 1 ESTACION DE SERVICIO PAULINA PISO: 1 ZONA: LOTE Nro 8,7
3146,4986,-17.552299,-64.314781,COMARAPA,AV. PRINCIPAL 363,7
3149,41702,-17.2531622,-64.3632164,SUCURSAL COCHABAMBA,"COCHABAMBA - AV. PANAMERICANA S/N, ZONA: BULO BULO - ENTRE RIOS",3
3151,9732,-16.2749286,-62.509839,ESTACION DE SERVICIOS SAN JAVIER,SAN JAVIER - AV. SANTA CRUZ NRO S/N UV: 001 MZNO: S/N ZONA: SUR,7
3154,36812,-17.67576,-63.1590915,SUCURSAL 3 (KM. 11 CARRETERA SANTA CRUZ - WARNES),SANTA CRUZ DE LA SIERRA - KM. 11 CARRETERA SANTA CRUZ WARNES,7
3155,27946,-20.0256106,-63.5323154,ESTACION DE SERVICIO CAMIRIGAS S.R.L.,CAMIRI - AV. PANAMERICANA Nro S/N UV: S/N MZNO: S/N ZONA: CENTRAL,7
3158,14867,-16.8889664,-65.4218902,ESTACION DE SERVICIO TRANS NACIONAL ETERAZAMA S.A.,CARRETERA VILLA TUNARI - ETERAZAMA KM 28,3
